data,mes,irradiancia_kwh_m2,temperatura_c
2023-01-01,1,5.57,22.35
2023-01-02,1,6.63,22.91
2023-01-03,1,4.71,22.61
2023-01-04,1,3.35,21.36
2023-01-05,1,2.32,18.27
2023-01-06,1,3.19,18.32
2023-01-07,1,3.41,17.54
2023-01-08,1,3.81,19.32
2023-01-09,1,3.31,19.45
2023-01-10,1,3.15,20.77
2023-01-11,1,3.90,21.29
2023-01-12,1,5.01,21.14
2023-01-13,1,5.18,22.09
2023-01-14,1,5.53,23.30
2023-01-15,1,6.18,23.71
2023-01-16,1,6.30,24.04
2023-01-17,1,6.86,23.60
2023-01-18,1,5.86,22.58
2023-01-19,1,5.58,22.56
2023-01-20,1,2.92,20.61
2023-01-21,1,6.11,21.50
2023-01-22,1,6.36,23.04
2023-01-23,1,4.27,22.88
2023-01-24,1,5.25,22.28
2023-01-25,1,7.68,22.03
2023-01-26,1,8.54,21.61
2023-01-27,1,6.87,22.09
2023-01-28,1,5.36,22.36
2023-01-29,1,5.57,22.63
2023-01-30,1,4.82,21.32
2023-01-31,1,5.05,22.25
2023-02-01,2,4.46,21.53
2023-02-02,2,5.90,22.85
2023-02-03,2,4.83,22.43
2023-02-04,2,4.69,22.75
2023-02-05,2,4.74,22.24
2023-02-06,2,4.00,22.61
2023-02-07,2,3.58,21.49
2023-02-08,2,6.11,21.09
2023-02-09,2,6.76,22.10
2023-02-10,2,5.34,22.43
2023-02-11,2,3.05,21.01
2023-02-12,2,4.44,21.56
2023-02-13,2,5.10,22.65
2023-02-14,2,5.73,22.65
2023-02-15,2,5.46,22.93
2023-02-16,2,4.17,22.75
2023-02-17,2,5.61,23.23
2023-02-18,2,2.84,21.57
2023-02-19,2,2.06,18.62
2023-02-20,2,5.94,22.25
2023-02-21,2,4.72,21.69
2023-02-22,2,5.01,22.02
2023-02-23,2,4.04,22.06
2023-02-24,2,5.19,22.31
2023-02-25,2,5.30,22.83
2023-02-26,2,5.72,23.29
2023-02-27,2,4.45,22.07
2023-02-28,2,3.58,20.59
2023-03-01,3,5.68,21.52
2023-03-02,3,6.39,22.67
2023-03-03,3,5.90,23.40
2023-03-04,3,3.11,22.33
2023-03-05,3,4.82,22.42
2023-03-06,3,5.50,22.44
2023-03-07,3,4.73,22.17
2023-03-08,3,5.70,23.23
2023-03-09,3,4.26,22.77
2023-03-10,3,3.94,22.24
2023-03-11,3,3.31,21.64
2023-03-12,3,2.44,21.21
2023-03-13,3,3.41,21.14
2023-03-14,3,3.62,21.08
2023-03-15,3,5.61,21.61
2023-03-16,3,6.23,21.23
2023-03-17,3,6.33,20.52
2023-03-18,3,6.21,21.64
2023-03-19,3,5.74,22.35
2023-03-20,3,6.21,22.78
2023-03-21,3,6.08,21.88
2023-03-22,3,6.00,21.78
2023-03-23,3,6.53,21.80
2023-03-24,3,6.05,22.23
2023-03-25,3,5.84,22.45
2023-03-26,3,5.95,23.36
